127.0.0.1, 2015-03-31 14:56:33, GET, /tpop/appadmin/hooks, HTTP/1.1, 200, 13.788704
127.0.0.1, 2015-03-31 14:56:38, GET, /admin/default/peek/tpop/controllers/default.py, HTTP/1.1, 200, 0.223497
127.0.0.1, 2015-03-31 14:59:20, GET, /admin/default/design/tpop, HTTP/1.1, 200, 0.680914
127.0.0.1, 2015-03-31 14:59:25, GET, /admin/default/peek/tpop/controllers/default.py, HTTP/1.1, 200, 0.193991
127.0.0.1, 2015-03-31 14:59:29, GET, /admin/default/design/tpop, HTTP/1.1, 200, 0.682930
127.0.0.1, 2015-03-31 14:59:43, GET, /admin/default/site, HTTP/1.1, 200, 0.520174
127.0.0.1, 2015-03-31 14:59:49, GET, /tpop/default/index, HTTP/1.1, 200, 1.422992
127.0.0.1, 2015-03-31 15:01:37, GET, /tpop/default/index, HTTP/1.1, 500, 18.793688
127.0.0.1, 2015-03-31 15:01:42, GET, /admin/default/ticket/tpop/127.0.0.1.2015-03-31.15-01-18.707df795-1c13-4a09-be81-d05ad66e4d59, HTTP/1.1, 200, 0.308642
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/default/ticket/tpop/127.0.0.1.2015-03-31.15-01-18.707df795-1c13-4a09-be81-d05ad66e4d59, HTTP/1.1, 200, 0.275412
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 304, 0.002679
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 304, 0.003453
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 304, 0.017451
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.003226
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.016298
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 304, 0.032244
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 304, 0.013474
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.018555
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.019327
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 304, 0.016107
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.018432
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.007345
127.0.0.1, 2015-03-31 15:02:18, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003125
127.0.0.1, 2015-03-31 15:02:19, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.002395
127.0.0.1, 2015-03-31 15:02:35, GET, /tpop/default/index, HTTP/1.1, 500, 8.918204
127.0.0.1, 2015-03-31 15:02:43, GET, /admin/default/ticket/tpop/127.0.0.1.2015-03-31.15-02-26.4b576aca-2024-4c0b-bd6d-9491ca4e8207, HTTP/1.1, 200, 0.800549
127.0.0.1, 2015-03-31 15:03:34, GET, /tpop/default/index, HTTP/1.1, 500, 1.446857
127.0.0.1, 2015-03-31 15:16:35, GET, /tpop/default/index, HTTP/1.1, 500, 7.290111
127.0.0.1, 2015-03-31 15:16:40, GET, /tpop/default, HTTP/1.1, 500, 6.233373
127.0.0.1, 2015-03-31 15:16:48, GET, /tpop, HTTP/1.1, 500, 9.966791
127.0.0.1, 2015-03-31 15:17:38, GET, /tpop, HTTP/1.1, 200, 1.201648
127.0.0.1, 2015-03-31 15:18:34, GET, /tpop/count, HTTP/1.1, 404, 1.322278
127.0.0.1, 2015-03-31 15:18:55, GET, /tpop/default/count, HTTP/1.1, 404, 0.296536
127.0.0.1, 2015-03-31 15:20:03, GET, /tpop/default/count, HTTP/1.1, 404, 1.094396
127.0.0.1, 2015-03-31 15:20:05, GET, /tpop/default/count, HTTP/1.1, 404, 0.187941
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/fun/count, HTTP/1.1, 200, 2.090913
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.007382
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/images/favicon.ico, HTTP/1.1, 200, 0.007033
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/css/calendar.css, HTTP/1.1, 200, 0.051625
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/jquery.js, HTTP/1.1, 200, 0.023046
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/web2py.js, HTTP/1.1, 200, 0.034972
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/calendar.js, HTTP/1.1, 200, 0.063512
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/css/web2py.css, HTTP/1.1, 200, 0.041132
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.021060
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.043370
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.055464
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.061146
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.044175
127.0.0.1, 2015-03-31 15:20:38, GET, /tpop/static/js/share.js, HTTP/1.1, 200, 0.054530
127.0.0.1, 2015-03-31 15:20:40, GET, /tpop/static/images/gplus-32.png, HTTP/1.1, 200, 0.008871
127.0.0.1, 2015-03-31 15:20:40, GET, /tpop/static/images/twitter.png, HTTP/1.1, 200, 0.018485
